Title,SalePrice,NetSale,COGS
2023 Panini Select Jahmyr Gibbs Anniversary SSP RC #ANV-JGI Lions,89.2,69.58,
2021 Topps NPB Roki Sasaki #112 Chiba Lotte,14.86,10.29,
2022 Panini Prizm Terrel Bernard Red RC Auto /199 #RA-TBE Bills,19.64,14.31,
2023-24 Panini Court Kings - Rookies I #73 Victor Wembanyama (RC),22.92,16.48,
2023-24 Panini Prizm LeBron James Silver Ice #63 Lakers,6.28,3.99,
2024 Panini National Dan Marino Blue Sparkle /124 #8 Dolphins,9.48,6.64,
2023 Panini Prizm Jack Campbell Purple Ice RC /225 #330 Lions,11.75,8.18,
2024 Panini Crusade Paul Skenes Gold SP RC #8 Pirates,10.98,8.27,
2024 Panini National Ken Griffey Jr Red Sparkle /149 #49 Mariners,8.62,5.56,
JALEN GREEN RC 2021 PANINI REVOLUTION ASTRO #115 ROOKIE PSA 10,21.07,11.86,
2024 Panini National Deion Sanders Green Sparkle /99 #13 Cowboys,6.47,3.97,
2023 Panini National VIP Ken Griffey Jr Red Sparkle /199 #44 Reds PSA 10,28.78,18.22,
2023-24 Panini Optic Victor Wembanyama Rated Rookie #225 Spurs,11.24,7.84,
2023-24 Panini Optic Victor Wembanyama Rated Rookie #225 Spurs,11.24,7.84,
2024 Panini Prizm Lola Vice Blue /199 #187 WWE,6.38,3.98,
2023 Panini Prizm David Montgomery Green Scope /75 #97 Lions,8.41,5.77,
JOE BURROW RC 2020 PANINI CHRONICLES PINK ROOKIE #19 BENGALS,4.15,2.08,
2022 Panini Spectra Lamar Jackson Blue /99 #42 Ravens,6.47,3.97,
2015 Topps Peyton Manning Gold /2015 #80 Broncos,3.72,1.71,
2023-24 Panini Hoops Victor Wembanyama Arriving Now RC #26 Spurs,6.45,3.86,
2023 Panini Prizm Tank Dell Pandora /400 RC #341 Texans,19.0,14.38,
2023-24 Panini Prizm - Instant Impact #3 Victor Wembanyama (RC),9.34,6.3,
2022 Panini Select Derrick Mason Silver Auto #SSP-DEM Titans,6.56,3.96,
2023 Leaf Metal Quentin Johnston Gold RC Auto 1/1 #SM-QJ1 Chargers,15.99,12.72,
2022 Leaf Exotic Mackenzie Mgbako Auto /7 #BA-MM1,8.42,5.75,
2023 Panini Prizm Cedric Tillman Orange Ice RC #321 Browns,6.4,3.85,
2023 Leaf Pro Set Devon Achane Goin Pro RC Auto 1/1 #GP-DA1 Dolphins,37.52,25.32,
2023 Panini Prizm Cedric Tillman Purple RC /125 #321 Browns,9.26,6.16,
2023 Bowman University Chrome JuJu Watkins Pink Refractor RC #43 USC,36.63,25.42,
